idx,rel_path,in_path,out_path,orig_fs,used_fs,channel_idx,env_file,range_m,src_z,rcv_z,Npaths,power_db
1,train\ClassA\dredger\train_ClassA_dredger_id80_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id80_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id80_seg000.wav,16000,16000,7,env_009_munk_H200_R500_sand.arr,500.00,NaN,NaN,2,2.920
2,train\ClassA\dredger\train_ClassA_dredger_id80_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id80_seg001.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id80_seg001.wav,16000,16000,18,env_034_summer_shallow_H200_R500_mud.arr,500.00,NaN,NaN,2,2.781
3,train\ClassA\dredger\train_ClassA_dredger_id80_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id80_seg002.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id80_seg002.wav,16000,16000,44,env_097_deep_channel_H50_R500_sand.arr,500.00,NaN,NaN,12,10.025
4,train\ClassA\dredger\train_ClassA_dredger_id93_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id93_seg003.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id93_seg003.wav,16000,16000,10,env_010_munk_H200_R500_mud.arr,500.00,NaN,NaN,2,2.846
5,train\ClassA\dredger\train_ClassA_dredger_id94_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id94_seg004.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id94_seg004.wav,16000,16000,28,env_073_deep_channel_H50_R500_sand.arr,500.00,NaN,NaN,12,10.025
6,train\ClassA\dredger\train_ClassA_dredger_id94_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id94_seg005.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id94_seg005.wav,16000,16000,44,env_097_deep_channel_H50_R500_sand.arr,500.00,NaN,NaN,12,10.025
7,train\ClassA\dredger\train_ClassA_dredger_id96_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id96_seg006.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id96_seg006.wav,16000,16000,17,env_034_summer_shallow_H200_R500_mud.arr,500.00,NaN,NaN,3,2.824
8,train\ClassA\dredger\train_ClassA_dredger_id96_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id96_seg007.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id96_seg007.wav,16000,16000,22,env_050_isothermal_H50_R500_mud.arr,500.00,NaN,NaN,12,9.990
9,train\ClassA\dredger\train_ClassA_dredger_id96_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\dredger\train_ClassA_dredger_id96_seg008.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\dredger\train_ClassA_dredger_id96_seg008.wav,16000,16000,20,env_049_isothermal_H50_R500_sand.arr,500.00,NaN,NaN,12,9.990
10,train\ClassA\fishing\train_ClassA_fishing_id73_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15\train\ClassA\fishing\train_ClassA_fishing_id73_seg000.wav,E:\rcq\pythonProject\Data\ShipsEar_16k_30s_hop15_WOA\train\ClassA\fishing\train_ClassA_fishing_id73_seg000.wav,16000,16000,45,env_098_deep_channel_H50_R500_mud.arr,500.00,NaN,NaN,12,10.122
